"","occ_binary","line","hour","day_of_week","dist_rush","to_from_bruss","vehicle_type","nr_of_stops","temperature","humidity","windspeed","visibility","weather_type","from.avg_stop_times","from.prov","from.count","from.groups","from.maxcount","from.maj_groups","from.major_hub","from.non_hub","to.avg_stop_times","to.prov","to.count","to.groups","to.maxcount","to.maj_groups","to.major_hub","to.non_hub","to_from_maj_hub","tf_avg_stop","tf_count","to.Hainut","to.VlaamsBrabant","from.Hainut","from.VlaamsBrabant","line7573","line66","line12","in_group","in_group_maj"
"1","1","l.25",0,"Wednesday",8,"Y","IC",11,18,95,13,3,"wt.248",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N",306.52312138728,"Antwerpen",253,"g3",300,"mg5","Y","N","Y",473.39450867052,449,"N","N","N","N","N","N","N","N","Y"
"2","0","l.21",0,"Thursday",8,"N","IC",16,19,95,9,5,"wt.143",39.476878612717,"Limburg",41,"g5",132,"mg3","N","N",39.476878612717,"Limburg",41,"g5",132,"mg3","N","N","N",39.476878612717,41,"N","N","N","N","N","N","N","Y","Y"
"3","0","l.36",0,"Thursday",8,"Y","IC",16,19,95,9,5,"wt.143",39.476878612717,"Limburg",41,"g5",132,"mg3","N","N",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N","Y",336.820809248553,341,"N","N","N","N","N","N","N","N","N"
"4","1","l.36",1,"Thursday",7,"Y","IC",28,18,97,11,0,"wt.248",171.02023121387,"Vlaams Brabant",173,"g9",660,"mg1","N","N",640.26589595376,"Bruxelles",645,"g9",660,"mg5","Y","N","Y",405.643063583815,409,"N","N","N","Y","N","N","N","Y","N"
"5","0","l.50",9,"Thursday",1,"Y","IC",16,17,85,9,10,"wt.176",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N","Y",471.58959537572,492,"N","N","N","N","N","N","N","N","Y"
"6","0","l.0",9,"Thursday",1,"Y","S",28,18,90,11,10,"wt.176",39.121387283237,"Bruxelles",30,"g8",334,"mg4","N","N",634.16473988439,"Bruxelles",641,"g9",660,"mg5","Y","N","Y",336.643063583814,335.5,"N","N","N","N","N","N","N","N","N"
"7","0","l.50",10,"Thursday",2,"Y","IC",11,18,80,10,10,"wt.176",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",497.815028901735,501.5,"N","N","N","N","N","N","N","N","Y"
"8","0","l.50",10,"Thursday",2,"Y","IC",11,18,80,10,10,"wt.176",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",497.815028901735,501.5,"N","N","N","N","N","N","N","N","Y"
"11","0","l.50",11,"Thursday",3,"Y","IC",11,19,77,12,10,"wt.176",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",497.815028901735,501.5,"N","N","N","N","N","N","N","N","Y"
"12","0","l.50",11,"Thursday",3,"Y","IC",7,19,77,12,10,"wt.176",309.01445086705,"Oost-Vlaanderen",343,"g2",343,"mg5","Y","N",686.61560693642,"Bruxelles",660,"g9",660,"mg5","Y","N","Y",497.815028901735,501.5,"N","N","N","N","N","N","N","N","Y"
